Character ID,Character used
1,
2,Akita Neru
3,Avanna
4,Camui Gackpo
5,CASE
6,CYBER DIVA
7,Daina
8,Dex
9,flower
10,Fukase
11,Gumi
12,Hatsune Miku
13,Hibiki Koto
14,IA
15,Kaai Yuki
16,Kagamine Len
17,Kagamine Rin
18,Kaito
19,Kasane Teto
20,Lily
21,Mayu
22,Megurine Luka
23,Meiko
24,OLIVER
25,Otomachi Una
26,SeeU
27,Tone Rion
28,Utatane Piko
29,Yuma
